"search-number","evaluation","number-of-leaves*","wind-factor*","temperature*","rain-intensity*","sun-intensity*","start-sugar-mean*","start-sugar-stddev*","leaf-display-mode*","fitness","num-replicates","best-fitness-so-far"
"1","3","2377","2","9","8","41","55","22","""attachedness""","0","3","0"
"1","6","1574","1","21","20","80","84","26","""attachedness""","254.66666666666666","3","254.66666666666666"
"1","9","468","8","30","21","63","2","24","""solid""","0","3","254.66666666666666"
"1","12","820","0","14","0","0","24","50","""chlorophyll""","816","3","816"
"1","15","2461","4","23","4","27","69","14","""sugar""","1349.3333333333333","3","1349.3333333333333"
"1","18","1668","9","34","8","52","46","46","""anthocyanin""","0","3","1349.3333333333333"
"1","21","704","0","4","5","69","90","19","""solid""","625","3","1349.3333333333333"
"1","24","1650","7","9","12","87","93","38","""attachedness""","0","3","1349.3333333333333"
"1","27","1687","2","9","12","100","14","14","""attachedness""","0","3","1349.3333333333333"
"1","30","1772","6","31","0","26","82","39","""attachedness""","0","3","1349.3333333333333"
"1","33","2048","9","17","1","71","68","7","""sugar""","0","3","1349.3333333333333"
"1","36","1932","3","32","13","51","19","46","""attachedness""","10.333333333333334","3","1349.3333333333333"
"1","39","1934","3","12","23","72","90","22","""solid""","0","3","1349.3333333333333"
"1","42","2454","2","16","7","94","79","7","""solid""","0","3","1349.3333333333333"
"1","45","1506","9","19","1","30","71","31","""solid""","0","3","1349.3333333333333"
"1","48","1937","5","34","22","15","49","7","""water""","0","3","1349.3333333333333"
"1","51","1152","3","1","23","69","88","48","""water""","0","3","1349.3333333333333"
"1","54","887","7","32","26","79","81","29","""solid""","0","3","1349.3333333333333"
"1","57","952","9","39","13","31","61","49","""carotene""","0","3","1349.3333333333333"
"1","60","580","4","36","28","99","83","44","""solid""","0","3","1349.3333333333333"
"1","63","2010","5","5","22","30","86","33","""solid""","0","3","1349.3333333333333"
"1","66","1018","4","30","21","0","99","49","""carotene""","0","3","1349.3333333333333"
"1","69","2302","3","7","19","86","87","30","""carotene""","0","3","1349.3333333333333"
"1","72","2009","0","39","0","30","15","46","""carotene""","0","3","1349.3333333333333"
"1","75","1740","9","23","29","9","72","16","""carotene""","0","3","1349.3333333333333"
"1","78","1748","4","20","2","59","37","23","""anthocyanin""","984.6666666666666","3","1349.3333333333333"
"1","81","2426","4","2","5","98","84","38","""carotene""","0","3","1349.3333333333333"
"1","84","1711","1","36","19","100","81","0","""water""","0","3","1349.3333333333333"
